PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.02.04,OR10,DB20,(欤??柬潵?曤??旐暀,1737345,50,1000886,ILBAN B 72 INCH ??20,2021.02.04,20,?╉拡?勲,
2021.02.04,OR10,DB40,?欖晞氩姼??1737410,10,1000886,ILBAN B 72 INCH ??20,2021.02.04,20,?╉拡?勲,,
2021.02.04,OR10,DB10,?膘毎?侅偓,1737434,60,1000886,ILBAN B 72 INCH ??10,2021.02.04,10,?╉拡?勲,
2021.02.04,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1737472,70,1000886,ILBAN B 72 INCH ??2,2021.02.04,2,?╉拡?勲,
2021.02.04,OR10,DB10,?欖澕氩姼?侅偓,1737476,40,1000886,ILBAN B 72 INCH ??20,2021.02.04,20,?╉拡?勲,
2021.02.04,OR30,DB20,?滌嫚?レ晫?ろ厡??1737594,20,1000886,ILBAN B 72 INCH ??20,2021.02.04,20,?╉拡?勲,,
2021.02.05,OR10,DB20,?欖澕 旖旊Μ??1737765,40,1000886,ILBAN B 72 INCH ??20,2021.02.05,20,?╉拡?勲,,
2021.02.05,OR10,DB40,???欖澕,1737834,170,1000886,ILBAN B 72 INCH ??4,2021.02.05,4,?╉拡?勲,
2021.02.05,OR10,DB40,?欖澕?奠儊,1737933,220,1000886,ILBAN B 72 INCH ??5,2021.02.05,5,?╉拡?勲,
2021.02.08,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1738112,10,1000886,ILBAN B 72 INCH ??38,2021.02.08,38,?╉拡?勲,,
2021.02.08,OR10,DB10,?膘毎?侅偓,1738184,120,1000886,ILBAN B 72 INCH ??20,2021.02.08,20,?╉拡?勲,
2021.02.08,OR10,DB10,?膘毎?侅偓,1738232,20,1000886,ILBAN B 72 INCH ??20,2021.02.08,20,?╉拡?勲,
2021.02.08,OR10,DB20,?リ淡膦呿暕?侁车??1738282,20,1000886,ILBAN B 72 INCH ??12,2021.02.08,12,?╉拡?勲,,
2021.02.08,OR10,DB10,?膘毎?侅偓,1738361,100,1000886,ILBAN B 72 INCH ??10,2021.02.08,10,?╉拡?勲,
2021.02.08,OR10,DB20,?滍暅?燫&B,1738449,200,1000886,ILBAN B 72 INCH ??80,2021.02.08,80,?╉拡?勲,
2021.02.08,OR10,DB40,???欖澕,1738548,30,1000886,ILBAN B 72 INCH ??20,2021.02.08,20,?╉拡?勲,
2021.02.09,OR10,DB20,?レ??1738656,190,1000886,ILBAN B 72 INCH ??2,2021.02.09,2,?╉拡?勲,,
2021.02.09,OR30,DB20,?旍劚氍检偘,1738665,10,1000886,ILBAN B 72 INCH ??20,2021.02.09,20,?╉拡?勲,
2021.02.09,OR10,DB20,(欤??柬潵?曤??旐暀,1738788,100,1000886,ILBAN B 72 INCH ??5,2021.02.09,5,?╉拡?勲,
2021.02.09,OR10,DB10,?膘毎?侅偓,1738841,30,1000886,ILBAN B 72 INCH ??10,2021.02.09,10,?╉拡?勲,
2021.02.09,OR10,DB40,?欖澕氩姼??1738843,80,1000886,ILBAN B 72 INCH ??5,2021.02.09,5,?╉拡?勲,,
