PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.04.30,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1766219,20,1000886,ILBAN B 72 INCH ??1,2021.04.30,1,?╉拡?勲,
2021.04.30,OR30,DB20,瓯办劚?办梾,1766286,20,1000886,ILBAN B 72 INCH ??20,2021.04.30,20,?╉拡?勲,
2021.05.03,OR30,DB20,?滌劚?侁车(欤?,1766437,70,1000886,ILBAN B 72 INCH ??20,2021.05.03,20,?╉拡?勲,
2021.05.03,OR10,DB40,?欖澕?奠儊,1766540,70,1000886,ILBAN B 72 INCH ??15,2021.05.03,15,?╉拡?勲,
2021.05.03,OR10,DB40,?欖澕?奠儊,1766561,790,1000886,ILBAN B 72 INCH ??40,2021.05.03,40,?╉拡?勲,
2021.05.03,OR10,DB20,?滌劚?侁车(欤?,1766675,30,1000886,ILBAN B 72 INCH ??4,2021.05.03,4,?╉拡?勲,
2021.05.03,OR10,DB20,?滉父?办梾,1766687,120,1000886,ILBAN B 72 INCH ??20,2021.05.03,20,?╉拡?勲,
2021.05.03,OR10,DB40,?欖澕氩姼??1766776,190,1000886,ILBAN B 72 INCH ??20,2021.05.03,20,?╉拡?勲,,
2021.05.04,OR10,DB10,?欖澕膦呿暕氍检偘,1767068,50,1000886,ILBAN B 72 INCH ??20,2021.05.04,20,?╉拡?勲,
2021.05.04,OR10,DB10,?膘毎?侅偓,1767144,30,1000886,ILBAN B 72 INCH ??20,2021.05.04,20,?╉拡?勲,
2021.05.04,OR10,DB20,?滉父?办梾,1767238,30,1000886,ILBAN B 72 INCH ??20,2021.05.04,20,?╉拡?勲,
2021.05.04,OR10,DB20,?滌澕?办梾??1767246,30,1000886,ILBAN B 72 INCH ??6,2021.05.04,6,?╉拡?勲,,
2021.05.04,OR10,DB40,?欖澕氩姼??1767327,170,1000886,ILBAN B 72 INCH ??40,2021.05.04,40,?╉拡?勲,,
2021.05.04,OR10,DB40,???欖澕,1767406,50,1000886,ILBAN B 72 INCH ??3,2021.05.04,3,?╉拡?勲,
2021.05.06,OR10,DB40,?欖澕氩姼??1767574,90,1000886,ILBAN B 72 INCH ??10,2021.05.06,10,?╉拡?勲,,
2021.05.06,OR10,DB20,?レ?嶊赴瓿?1767645,20,1000886,ILBAN B 72 INCH ??10,2021.05.06,10,?╉拡?勲,,
2021.05.06,OR10,DB40,???欖澕,1767679,50,1000886,ILBAN B 72 INCH ??2,2021.05.06,2,?╉拡?勲,
2021.05.06,OR10,DB20,?欖澕?轨垬瓿犽氩姼,1767692,350,1000886,ILBAN B 72 INCH ??20,2021.05.06,20,?╉拡?勲,
2021.05.06,OR10,DB20,?�?滊波??1767754,150,1000886,ILBAN B 72 INCH ??20,2021.05.06,20,?╉拡?勲,,
2021.05.06,OR10,DB20,?滍暅?燫&B,1767774,10,1000886,ILBAN B 72 INCH ??3,2021.05.06,3,?╉拡?勲,
2021.05.06,OR10,DB20,歆勴潵?侅偓,1767889,10,1000886,ILBAN B 72 INCH ??3,2021.05.06,3,?╉拡?勲,
2021.05.06,OR10,DB10,?欖澕?缄磻?办梾,1768067,100,1000886,ILBAN B 72 INCH ??20,2021.05.06,20,?╉拡?勲,
2021.05.07,OR30,DB20,?滌嫚?レ晫?ろ厡??1768106,20,1000886,ILBAN B 72 INCH ??20,2021.05.07,20,?╉拡?勲,,
2021.05.07,OR30,DB20,(欤? ?犿潵?措Μ?岉伂,1768130,60,1000886,ILBAN B 72 INCH ??20,2021.05.07,20,?╉拡?勲,
2021.05.07,OR10,DB20,?滉父?办梾,1768318,80,1000886,ILBAN B 72 INCH ??20,2021.05.07,20,?╉拡?勲,
2021.05.07,OR10,DB20,(欤??柬潵?曤??旐暀,1768332,70,1000886,ILBAN B 72 INCH ??10,2021.05.07,10,?╉拡?勲,
2021.05.07,OR10,DB40,???欖澕,1768342,40,1000886,ILBAN B 72 INCH ??12,2021.05.07,12,?╉拡?勲,
2021.05.07,OR10,DB40,?欖晞氩姼??1768416,30,1000886,ILBAN B 72 INCH ??20,2021.05.07,20,?╉拡?勲,,
2021.05.07,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1768426,20,1000886,ILBAN B 72 INCH ??60,2021.05.07,60,?╉拡?勲,,
2021.05.07,OR10,DB20,?滌嫚?レ晫?ろ厡??1768496,30,1000886,ILBAN B 72 INCH ??4,2021.05.07,4,?╉拡?勲,,
2021.05.10,OR30,DB20,?欖澕氩姼?办梾 欤检嫕?岇偓,1768637,10,1000886,ILBAN B 72 INCH ??8,2021.05.10,8,?╉拡?勲,
2021.05.10,OR10,DB10,?滉淡氩姼?办梾旮瓣硠,1768664,50,1000886,ILBAN B 72 INCH ??10,2021.05.10,10,?╉拡?勲,
2021.05.10,OR10,DB10,?膘毎?侅偓,1768815,120,1000886,ILBAN B 72 INCH ??20,2021.05.10,20,?╉拡?勲,
2021.05.10,OR10,DB10,?膘毎?侅偓,1768818,70,1000886,ILBAN B 72 INCH ??20,2021.05.10,20,?╉拡?勲,
2021.05.10,OR10,DB20,?滉父?办梾,1769074,140,1000886,ILBAN B 72 INCH ??5,2021.05.10,5,?╉拡?勲,
2021.05.10,OR10,DB40,???欖澕,1769085,10,1000886,ILBAN B 72 INCH ??5,2021.05.10,5,?╉拡?勲,
2021.05.11,OR10,DB20,?欖澕?办梾,1769496,10,1000886,ILBAN B 72 INCH ??50,2021.05.11,50,?╉拡?勲,
2021.05.11,OR10,DB20,?滉父?办梾,1769529,1540,1000886,ILBAN B 72 INCH ??5,2021.05.11,5,?╉拡?勲,
2021.05.11,OR10,DB40,?欖澕氩姼??1769536,80,1000886,ILBAN B 72 INCH ??40,2021.05.11,40,?╉拡?勲,,
2021.05.12,OR10,DB20,?欖澕?办梾,1769820,80,1000886,ILBAN B 72 INCH ??10,2021.05.12,10,?╉拡?勲,
2021.05.12,OR10,DB20,?滌嫚?レ晫?ろ厡??1769924,50,1000886,ILBAN B 72 INCH ??8,2021.05.12,8,?╉拡?勲,,
2021.05.12,OR10,DB10,氚橂弰?侅偓,1769967,30,1000886,ILBAN B 72 INCH ??20,2021.05.12,20,?╉拡?勲,
2021.05.12,OR30,DB20,?滌嫚?レ晫?ろ厡??1770015,20,1000886,ILBAN B 72 INCH ??20,2021.05.12,20,?╉拡?勲,,
2021.05.12,OR10,DB40,?欖澕氩姼??1770067,120,1000886,ILBAN B 72 INCH ??40,2021.05.12,40,?╉拡?勲,,
2021.05.12,OR10,DB40,?欖澕?奠儊,1770108,130,1000886,ILBAN B 72 INCH ??5,2021.05.12,5,?╉拡?勲,
2021.05.12,OR10,DB40,?欖澕氩姼??1770130,50,1000886,ILBAN B 72 INCH ??10,2021.05.12,10,?╉拡?勲,,
2021.05.13,OR10,DB20,?リ淡膦呿暕?侁车??1770490,40,1000886,ILBAN B 72 INCH ??5,2021.05.13,5,?╉拡?勲,,
2021.05.13,OR10,DB20,?レ??1770492,110,1000886,ILBAN B 72 INCH ??1,2021.05.13,1,?╉拡?勲,,
2021.05.13,OR10,DB10,?欖澕氩姼(甏戩＜),1770495,10,1000886,ILBAN B 72 INCH ??80,2021.05.13,80,?╉拡?勲,
2021.05.13,OR10,DB20,欤检嫕?岇偓 ?彪炒?办梾??1770533,10,1000886,ILBAN B 72 INCH ??20,2021.05.13,20,?╉拡?勲,,
2021.05.13,OR10,DB20,?滉父?办梾,1770561,40,1000886,ILBAN B 72 INCH ??5,2021.05.13,5,?╉拡?勲,
2021.05.13,OR30,DB20,?レ??1770619,20,1000886,ILBAN B 72 INCH ??10,2021.05.13,10,?╉拡?勲,,
2021.05.13,OR10,DB10,?欖澕?缄磻?办梾,1770672,100,1000886,ILBAN B 72 INCH ??20,2021.05.13,20,?╉拡?勲,
2021.05.14,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1770871,10,1000886,ILBAN B 72 INCH ??4,2021.05.14,4,?╉拡?勲,
2021.05.14,OR10,DB20,?�?滊波??1770914,290,1000886,ILBAN B 72 INCH ??20,2021.05.14,20,?╉拡?勲,,
2021.05.14,OR10,DB10,?膘毎?侅偓,1771023,180,1000886,ILBAN B 72 INCH ??10,2021.05.14,10,?╉拡?勲,
2021.05.14,OR30,DB20,?欖澕?办梾,1771116,60,1000886,ILBAN B 72 INCH ??6,2021.05.14,6,?╉拡?勲,
2021.05.15,OR10,DB20,?滉父?办梾,1771147,290,1000886,ILBAN B 72 INCH ??5,2021.05.15,5,?╉拡?勲,
2021.05.15,OR30,DB20,?欖澕氩姼?办梾 欤检嫕?岇偓,1771175,70,1000886,ILBAN B 72 INCH ??40,2021.05.15,40,?╉拡?勲,
2021.05.17,OR30,DB20,?滉父?办梾,1771302,80,1000886,ILBAN B 72 INCH ??5,2021.05.17,5,?╉拡?勲,
2021.05.17,OR10,DB10,?膘毎?侅偓,1771486,60,1000886,ILBAN B 72 INCH ??20,2021.05.17,20,?╉拡?勲,
2021.05.17,OR10,DB20,?胳檿?办梾,1771606,20,1000886,ILBAN B 72 INCH ??20,2021.05.17,20,?╉拡?勲,
2021.05.18,OR30,DB20,?滌澕?办梾??1771727,10,1000886,ILBAN B 72 INCH ??20,2021.05.18,20,?╉拡?勲,,
2021.05.18,OR10,DB10,?滌澕氚旍毎 欤检嫕?岇偓,1771758,50,1000886,ILBAN B 72 INCH ??16,2021.05.18,16,?╉拡?勲,
2021.05.18,OR10,DB40,?欖澕?奠儊,1771902,70,1000886,ILBAN B 72 INCH ??40,2021.05.18,40,?╉拡?勲,
2021.05.18,OR10,DB10,?膘毎?侅偓,1771924,80,1000886,ILBAN B 72 INCH ??8,2021.05.18,8,?╉拡?勲,
2021.05.19,OR10,DB10,?欖澕氩姼(?勳＜),1772238,40,1000886,ILBAN B 72 INCH ??20,2021.05.19,20,?╉拡?勲,
2021.05.20,OR10,DB40,?欖澕氩姼??1772604,70,1000886,ILBAN B 72 INCH ??10,2021.05.20,10,?╉拡?勲,,
2021.05.20,OR10,DB40,?欖澕氩姼??1772641,40,1000886,ILBAN B 72 INCH ??40,2021.05.20,40,?╉拡?勲,,
2021.05.20,OR10,CS40,?欖澕?办梾(?滌矞),1772655,10,1000886,ILBAN B 72 INCH ??20,2021.05.20,20,?╉拡?勲,
2021.05.20,OR10,DB10,?膘毎?侅偓,1772686,70,1000886,ILBAN B 72 INCH ??3,2021.05.20,3,?╉拡?勲,
2021.05.20,OR10,DB10,?欖澕?侁车??1772733,10,1000886,ILBAN B 72 INCH ??20,2021.05.20,20,?╉拡?勲,,
2021.05.20,OR10,DB40,?欖澕氩姼??1772744,120,1000886,ILBAN B 72 INCH ??5,2021.05.20,5,?╉拡?勲,,
2021.05.21,OR30,DB20,?リ淡膦呿暕?侁车??1772917,130,1000886,ILBAN B 72 INCH ??20,2021.05.21,20,?╉拡?勲,,
2021.05.21,OR10,DB10,?欖澕膦呿暕氍检偘,1772940,10,1000886,ILBAN B 72 INCH ??20,2021.05.21,20,?╉拡?勲,
2021.05.21,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1773042,20,1000886,ILBAN B 72 INCH ??20,2021.05.21,20,?╉拡?勲,
2021.05.21,OR10,DB20,?レ??1773242,60,1000886,ILBAN B 72 INCH ??1,2021.05.21,1,?╉拡?勲,,
2021.05.21,OR10,DB10,?欖澕?缄磻?办梾,1773294,100,1000886,ILBAN B 72 INCH ??20,2021.05.21,20,?╉拡?勲,
2021.05.24,OR10,DB10,攵�?勳儊???滊┐),1773413,20,1000886,ILBAN B 72 INCH ??10,2021.05.24,10,?╉拡?勲,
2021.05.24,EX10,OS10,FIRST INTERNATIONAL BUSINESS L.L.C.,1773512,60,1005960,ILBAN B 72 INCH OHS EX,911,2021.07.15,911,?╉拡?勲
2021.05.24,OR10,DB10,?膘毎?侅偓,1773553,730,1000886,ILBAN B 72 INCH ??40,2021.05.24,40,?╉拡?勲,
2021.05.24,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1773747,130,1000886,ILBAN B 72 INCH ??6,2021.05.24,6,?╉拡?勲,
2021.05.24,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1773858,90,1000886,ILBAN B 72 INCH ??10,2021.05.24,10,?╉拡?勲,
2021.05.25,OR30,DB20,瓯办劚?办梾,1774011,10,1000886,ILBAN B 72 INCH ??20,2021.05.25,20,?╉拡?勲,
2021.05.25,EX10,OS10,ALIS. BIN YAMEEN FOR TRADING EST.,1774050,890,1005960,ILBAN B 72 INCH OHS EX,126,2021.07.15,126,?╉拡?勲
2021.05.25,OR10,DB10,?欖澕?缄磻?办梾,1774126,10,1000886,ILBAN B 72 INCH ??60,2021.05.25,60,?╉拡?勲,
2021.05.25,OR30,DB20,?レ??1774194,10,1000886,ILBAN B 72 INCH ??10,2021.05.25,10,?╉拡?勲,,
2021.05.25,OR10,DB10,?膘毎?侅偓,1774246,20,1000886,ILBAN B 72 INCH ??10,2021.05.25,10,?╉拡?勲,
2021.05.25,OR10,DB10,?欖澕膦呿暕?办梾,1774278,130,1000886,ILBAN B 72 INCH ??10,2021.05.25,10,?╉拡?勲,
2021.05.25,OR10,DB40,?欖澕?奠儊,1774352,10,1000886,ILBAN B 72 INCH ??50,2021.05.25,50,?╉拡?勲,
2021.05.25,OR10,DB40,???欖澕,1774380,10,1000886,ILBAN B 72 INCH ??24,2021.05.25,24,?╉拡?勲,
2021.05.25,OR10,CS40,旒�?挫敤欤检嫕?岇偓,1774395,10,1000886,ILBAN B 72 INCH ??20,2021.05.26,20,?╉拡?勲,
2021.05.26,OR10,DB10,?欖澕膦呿暕?办梾,1774487,230,1000886,ILBAN B 72 INCH ??6,2021.05.26,6,?╉拡?勲,
2021.05.26,OR10,DB40,?侂偍旮瓣硠?侅偓,1774511,60,1000886,ILBAN B 72 INCH ??5,2021.05.26,5,?╉拡?勲,
2021.05.26,OR10,DB10,?滉淡氩姼?办梾旮瓣硠,1774521,70,1000886,ILBAN B 72 INCH ??10,2021.05.26,10,?╉拡?勲,
2021.05.26,OR10,DB40,?欖澕氩姼??1774666,10,1000886,ILBAN B 72 INCH ??12,2021.05.26,12,?╉拡?勲,,
2021.05.26,OR10,DB40,?欖澕氩姼??1774695,30,1000886,ILBAN B 72 INCH ??10,2021.05.26,10,?╉拡?勲,,
2021.05.26,OR10,DB40,?欖澕氩姼??1774711,100,1000886,ILBAN B 72 INCH ??40,2021.05.26,40,?╉拡?勲,,
2021.05.26,OR10,DB40,?欖澕?橃?旖橂矤?措波??1774747,20,1000886,ILBAN B 72 INCH ??20,2021.05.26,20,?╉拡?勲,,
2021.05.26,OR10,DB20,?欖澕氩姼?办梾 欤检嫕?岇偓,1774764,160,1000886,ILBAN B 72 INCH ??5,2021.05.26,5,?╉拡?勲,
2021.05.27,OR30,DB20,?滌澕?办梾??1774918,30,1000886,ILBAN B 72 INCH ??20,2021.05.27,20,?╉拡?勲,,
2021.05.27,OR10,DB10,?欖澕膦呿暕氍检偘,1775004,10,1000886,ILBAN B 72 INCH ??40,2021.05.27,40,?╉拡?勲,
2021.05.27,OR10,DB10,?膘毎?侅偓,1775236,40,1000886,ILBAN B 72 INCH ??10,2021.05.27,10,?╉拡?勲,
2021.05.28,OR30,DB20,?滌嫚?レ晫?ろ厡??1775368,20,1000886,ILBAN B 72 INCH ??20,2021.05.28,20,?╉拡?勲,,
2021.05.28,OR10,DB10,?欖澕膦呿暕氍检偘,1775392,10,1000886,ILBAN B 72 INCH ??20,2021.05.28,20,?╉拡?勲,
2021.05.28,OR10,DB10,攵�?勳儊???滊┐),1775404,30,1000886,ILBAN B 72 INCH ??5,2021.05.28,5,?╉拡?勲,
2021.05.28,OR10,CS40,?欖澕?办梾(?滌矞),1775455,10,1000886,ILBAN B 72 INCH ??10,2021.05.28,10,?╉拡?勲,
2021.05.28,OR10,DB20,?胳檿?办梾,1775470,10,1000886,ILBAN B 72 INCH ??30,2021.05.28,30,?╉拡?勲,
2021.05.28,OR10,DB40,???欖澕,1775489,80,1000886,ILBAN B 72 INCH ??2,2021.05.28,2,?╉拡?勲,
2021.05.28,OR30,DB20,?滉父?办梾,1775507,20,1000886,ILBAN B 72 INCH ??20,2021.05.28,20,?╉拡?勲,
2021.05.28,OR90,CS40,旒�?挫敤欤检嫕?岇偓,1775608,30,1000886,ILBAN B 72 INCH ??20,2021.05.28,20,?╉拡?勲,
2021.05.28,OR10,DB10,?膘毎?侅偓,1775618,60,1000886,ILBAN B 72 INCH ??10,2021.05.28,10,?╉拡?勲,
2021.05.28,OR10,DB40,?欖澕氩姼??1775695,80,1000886,ILBAN B 72 INCH ??5,2021.05.28,5,?╉拡?勲,,
2021.05.28,OR10,DB40,???欖澕,1775755,50,1000886,ILBAN B 72 INCH ??10,2021.05.28,10,?╉拡?勲,
2021.05.29,OR10,DB20,?滉父?办梾,1775783,40,1000886,ILBAN B 72 INCH ??5,2021.05.29,5,?╉拡?勲,
2021.05.31,OR10,DB10,攵�?勳儊???滊┐),1775863,50,1000886,ILBAN B 72 INCH ??3,2021.05.31,3,?╉拡?勲,
2021.05.31,OR10,DB20,?�?滊波??1775912,100,1000886,ILBAN B 72 INCH ??6,2021.05.31,6,?╉拡?勲,,
2021.05.31,OR30,DB20,(欤??柬潵?曤??旐暀,1775913,90,1000886,ILBAN B 72 INCH ??20,2021.05.31,20,?╉拡?勲,
2021.05.31,OR10,DB40,???欖澕,1776002,110,1000886,ILBAN B 72 INCH ??3,2021.05.31,3,?╉拡?勲,
2021.05.31,OR10,DB10,?膘毎?侅偓,1776040,110,1000886,ILBAN B 72 INCH ??5,2021.05.31,5,?╉拡?勲,
2021.05.31,OR10,DB10,?欖澕?缄磻?办梾,1776071,240,1000886,ILBAN B 72 INCH ??20,2021.05.31,20,?╉拡?勲,
2021.05.31,OR10,DB40,?欖澕氩姼??1776131,30,1000886,ILBAN B 72 INCH ??10,2021.05.31,10,?╉拡?勲,,
2021.05.31,OR30,DB20,?旍劚氍检偘,1776296,10,1000886,ILBAN B 72 INCH ??20,2021.05.31,20,?╉拡?勲,
2021.06.01,OR10,DB20,(欤? ?犿潵?措Μ?岉伂,1776392,80,1000886,ILBAN B 72 INCH ??20,2021.06.01,20,?╉拡?勲,
2021.06.01,OR30,DB20,(欤??柬潵?曤??旐暀,1776428,90,1000886,ILBAN B 72 INCH ??3,2021.06.01,3,?╉拡?勲,
2021.06.01,OR10,DB10,?犾澕?侅偓,1776540,30,1000886,ILBAN B 72 INCH ??20,2021.06.01,20,?╉拡?勲,
2021.06.01,OR10,DB20,?滌嫚?レ晫?ろ厡??1776542,10,1000886,ILBAN B 72 INCH ??10,2021.06.01,10,?╉拡?勲,,
2021.06.01,SP10,DB10,甑?牅膦呿暕旮瓣硠(欤?,1776575,10,1000886,ILBAN B 72 INCH ??2,2021.06.01,,?╉拡?勲,
2021.06.01,OR10,DB20,?滉父?办梾,1776590,50,1000886,ILBAN B 72 INCH ??20,2021.06.01,20,?╉拡?勲,
2021.06.01,OR30,DB20,(欤? ?犿潵?措Μ?岉伂,1776618,10,1000886,ILBAN B 72 INCH ??20,2021.06.01,20,?╉拡?勲,
2021.06.01,OR10,DB10,欤检嫕?岇偓 歆勳劚?旍??堨柎毵?1776769,10,1000886,ILBAN B 72 INCH ??10,2021.06.01,10,?╉拡?勲,,
2021.06.01,OR10,DB10,?膘毎?侅偓,1776780,50,1000886,ILBAN B 72 INCH ??10,2021.06.01,10,?╉拡?勲,
2021.06.01,OR10,DB10,?膘毎?侅偓,1776806,80,1000886,ILBAN B 72 INCH ??10,2021.06.01,10,?╉拡?勲,
2021.06.01,OR10,DB40,???欖澕,1776851,10,1000886,ILBAN B 72 INCH ??24,2021.06.01,24,?╉拡?勲,
2021.06.02,OR10,DB40,???欖澕,1777012,180,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,
2021.06.02,OR30,DB20,氩旍毎?奠儊,1777054,10,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,
2021.06.02,OR10,DB20,氩旍毎?奠儊,1777084,100,1000886,ILBAN B 72 INCH ??10,2021.06.02,10,?╉拡?勲,
2021.06.02,OR10,DB40,?欖澕?奠儊,1777092,60,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,
2021.06.02,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1777117,20,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,,
2021.06.02,OR30,DB20,?滌榿?办梾??1777163,30,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,,
2021.06.02,OR10,DB40,?欖澕?奠儊,1777180,50,1000886,ILBAN B 72 INCH ??20,2021.06.02,20,?╉拡?勲,
2021.06.02,OR10,DB20,?滉父?办梾,1777408,900,1000886,ILBAN B 72 INCH ??380,2021.06.02,380,?╉拡?勲,
2021.06.03,OR10,DB10,?欖澕氩姼(?胳偘),1777507,110,1000886,ILBAN B 72 INCH ??15,2021.06.03,15,?╉拡?勲,
2021.06.03,EX10,OS10,彀巾檾氍挫棴,1777535,340,1005960,ILBAN B 72 INCH OHS EX,63,2021.06.30,63,?╉拡?勲
2021.06.03,OR30,DB20,欤检嫕?岇偓 ?彪炒?办梾??1777539,40,1000886,ILBAN B 72 INCH ??25,2021.06.03,25,?╉拡?勲,,
2021.06.03,OR30,DB40,?欖澕?奠儊,1777564,70,1000886,ILBAN B 72 INCH ??10,2021.06.03,10,?╉拡?勲,
2021.06.03,OR10,DB10,?膘毎?侅偓,1777574,70,1000886,ILBAN B 72 INCH ??20,2021.06.03,20,?╉拡?勲,
2021.06.03,OR10,DB20,?リ淡膦呿暕?侁车??1777719,20,1000886,ILBAN B 72 INCH ??10,2021.06.03,10,?╉拡?勲,,
2021.06.03,OR10,DB40,?欖澕?奠儊,1777723,90,1000886,ILBAN B 72 INCH ??40,2021.06.03,40,?╉拡?勲,
2021.06.03,OR10,DB20,?滌嫚?レ晫?ろ厡??1777773,130,1000886,ILBAN B 72 INCH ??3,2021.06.03,3,?╉拡?勲,,
2021.06.03,OR10,DB40,?欖澕?奠儊,1777865,30,1000886,ILBAN B 72 INCH ??20,2021.06.03,20,?╉拡?勲,
2021.06.03,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1777871,10,1000886,ILBAN B 72 INCH ??20,2021.06.03,20,?╉拡?勲,
2021.06.04,OR10,DB10,攵�?勳儊???滊┐),1778244,10,1000886,ILBAN B 72 INCH ??2,2021.06.04,2,?╉拡?勲,
2021.06.04,OR10,DB20,?リ淡膦呿暕?侁车??1778248,120,1000886,ILBAN B 72 INCH ??5,2021.06.04,5,?╉拡?勲,,
2021.06.04,OR30,DB40,???欖澕,1778329,110,1000886,ILBAN B 72 INCH ??20,2021.06.04,20,?╉拡?勲,
2021.06.07,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1778502,40,1000886,ILBAN B 72 INCH ??2,2021.06.07,2,?╉拡?勲,
2021.06.07,OR10,DB10,?欖澕?缄磻?办梾,1778521,160,1000886,ILBAN B 72 INCH ??20,2021.06.07,20,?╉拡?勲,
2021.06.07,OR10,DB40,???欖澕,1778531,320,1000886,ILBAN B 72 INCH ??2,2021.06.07,2,?╉拡?勲,
2021.06.07,OR10,DB20,(欤??柬潵?曤??旐暀,1778538,40,1000886,ILBAN B 72 INCH ??12,2021.06.07,12,?╉拡?勲,
2021.06.07,OR30,DB40,?欖澕氩姼??1778619,60,1000886,ILBAN B 72 INCH ??10,2021.06.07,10,?╉拡?勲,,
2021.06.07,OR30,DB20,?滌嫚?レ晫?ろ厡??1778878,10,1000886,ILBAN B 72 INCH ??20,2021.06.07,20,?╉拡?勲,,
2021.06.08,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1779004,220,1000886,ILBAN B 72 INCH ??40,2021.06.08,40,?╉拡?勲,
2021.06.08,OR10,DB20,?�?滊波??1779071,40,1000886,ILBAN B 72 INCH ??20,2021.06.08,20,?╉拡?勲,,
2021.06.08,OR10,DB40,?欖澕?奠儊,1779204,80,1000886,ILBAN B 72 INCH ??20,2021.06.08,20,?╉拡?勲,
2021.06.08,OR10,DB20,欤检嫕?岇偓 ?欖澕?鸽崝?ろ姼毽?1779241,80,1000886,ILBAN B 72 INCH ??20,2021.06.08,20,?╉拡?勲,,
2021.06.08,OR10,DB40,?欖澕氩姼??1779261,80,1000886,ILBAN B 72 INCH ??40,2021.06.08,40,?╉拡?勲,,
2021.06.08,OR30,DB20,瓯办劚?办梾,1779330,10,1000886,ILBAN B 72 INCH ??40,2021.06.08,40,?╉拡?勲,
2021.06.09,OR10,DB20,(欤?臁办澕?侁车,1779466,250,1000886,ILBAN B 72 INCH ??100,2021.06.09,100,?╉拡?勲,
2021.06.09,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1779594,150,1000886,ILBAN B 72 INCH ??5,2021.06.09,5,?╉拡?勲,
2021.06.09,OR30,DB20,?滌榿?办梾??1779651,40,1000886,ILBAN B 72 INCH ??20,2021.06.09,20,?╉拡?勲,,
2021.06.09,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1779663,170,1000886,ILBAN B 72 INCH ??10,2021.06.09,10,?╉拡?勲,
2021.06.09,OR10,DB10,?欖澕?缄磻?办梾,1779673,300,1000886,ILBAN B 72 INCH ??40,2021.06.09,40,?╉拡?勲,
2021.06.10,OR10,DB20,?滌嫚?レ晫?ろ厡??1779986,10,1000886,ILBAN B 72 INCH ??10,2021.06.10,10,?╉拡?勲,,
2021.06.10,EX10,OS10,HEERAK BANIJYALOY,1780025,350,1005960,ILBAN B 72 INCH OHS EX,60,2021.07.15,60,?╉拡?勲
2021.06.10,OR10,DB20,?滍暅?燫&B,1780191,20,1000886,ILBAN B 72 INCH ??3,2021.06.10,3,?╉拡?勲,
2021.06.10,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1780225,20,1000886,ILBAN B 72 INCH ??5,2021.06.10,5,?╉拡?勲,
2021.06.10,OR10,DB10,?欖澕氩姼?侅偓,1780264,10,1000886,ILBAN B 72 INCH ??40,2021.06.10,40,?╉拡?勲,
2021.06.11,OR10,DB40,???欖澕,1780438,20,1000886,ILBAN B 72 INCH ??4,2021.06.11,4,?╉拡?勲,
2021.06.11,OR10,DB10,?膘毎?侅偓,1780476,80,1000886,ILBAN B 72 INCH ??20,2021.06.11,20,?╉拡?勲,
2021.06.11,OR10,DB20,?�?滊波??1780513,310,1000886,ILBAN B 72 INCH ??20,2021.06.11,20,?╉拡?勲,,
2021.06.11,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1780719,20,1000886,ILBAN B 72 INCH ??10,2021.06.11,10,?╉拡?勲,
2021.06.14,OR10,DB20,?滌劚?侁车(欤?,1780922,10,1000886,ILBAN B 72 INCH ??2,2021.06.14,2,?╉拡?勲,
2021.06.14,OR10,DB20,旖旊Μ?勲波??欤检嫕?岇偓,1780929,160,1000886,ILBAN B 72 INCH ??20,2021.06.14,20,?╉拡?勲,
2021.06.14,OR10,DB20,歆勴潵?侅偓,1781192,30,1000886,ILBAN B 72 INCH ??20,2021.06.14,20,?╉拡?勲,
2021.06.14,OR10,DB20,?�?滊波??1781232,100,1000886,ILBAN B 72 INCH ??10,2021.06.14,10,?╉拡?勲,,
2021.06.14,OR10,DB40,?欖澕?奠儊,1781255,30,1000886,ILBAN B 72 INCH ??40,2021.06.14,40,?╉拡?勲,
2021.06.14,OR30,DB40,?欖澕氩姼??1781278,20,1000886,ILBAN B 72 INCH ??60,2021.06.14,60,?╉拡?勲,,
