,STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
64,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201805,101.7
65,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201806,100.2
66,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201807,95.5
67,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201808,96.6
68,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201809,99.1
69,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201810,95.1
70,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201811,94.2
71,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201812,94.4
72,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201901,92
73,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201902,97.2
74,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201903,96.4
75,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201904,97.4
76,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201905,94
77,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201906,94.7
78,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201907,91.9
79,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201908,91.2
80,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201909,93.8
81,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201910,93.2
82,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201911,94
83,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,201912,94.8
84,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202001,97.3
85,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202002,89.8
86,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202003,69.2
87,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202004,62.2
88,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202005,64.1
89,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202006,68.7
90,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202007,77.3
91,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202008,83.3
92,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202009,77.5
93,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202010,88.6
94,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202011,91.5
95,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202012,85.6
96,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202101,92.7
97,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202102,96.3
98,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202103,101.1
99,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202104,105.2
100,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202105,105.3
101,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202106,109.2
102,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202107,103.8
103,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202108,105.2
104,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202109,104.4
105,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202110,105.5
106,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202111,106.2
107,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202112,104.5
108,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202201,105.6
109,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202202,105.7
110,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202203,103.4
111,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202204,105.7
112,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202205,106.7
113,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202206,102.5
114,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202207,97.8
115,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202208,99.3
116,513Y001,6.3. 경제심리지수,E1000,경제심리지수(원계열),,,,,,,,202209,98
